cuadro_origen,pagina_pdf,firma,familia,ambito,titulo_pagina,entidad,num_juzgados_pagina,unidad_fila,grupo_proceso,tipo_proceso,tipo_fila_derivado,orden_fila,n_columnas,materia_seccion,tipo_accion_penal,materia_norm,materia_cruda,ciudad,distrito,departamento_derivado,es_total_nacional,grupo_proceso_norm,gestion,revisado_manual,columna,valor,orden_columna,rotulo_columna_pdf
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,,CESACIÓN DE LA ASISTENCIA FAMILIAR DENTRO DE UN,detalle,3,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,,2023,False,incidentes_nuevos_demandados,354,2,INCIDENTES NUEVOS / DEMANDADOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,,CESACIÓN DE LA ASISTENCIA FAMILIAR DENTRO DE UN,detalle,3,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,,2023,False,movimiento_registrado_total_incidentes,406,3,MOVIMIENTO REGISTRADO / TOTAL DE INCIDENTES
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,,CESACIÓN DE LA ASISTENCIA FAMILIAR DENTRO DE UN,detalle,3,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,,2023,False,incidentes_resueltos,342,4,INCIDENTES RESUELTOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,,CESACIÓN DE LA ASISTENCIA FAMILIAR DENTRO DE UN,detalle,3,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,,2023,False,incidentes_pendientes_proxima_gestion,64,5,INCIDENTES PENDIENTES / PARA LA PROXIMA GESTIÓN
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,SGTES.,PROCESO ART. 415 Y MODIFICACIÓN DE GUARDA,detalle,4,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,incidentes_pendientes_iniciar_gestion,19,1,INCIDENTES PENDIENTES AL / INICIAR LA GESTIÓN
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,SGTES.,PROCESO ART. 415 Y MODIFICACIÓN DE GUARDA,detalle,4,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,incidentes_nuevos_demandados,110,2,INCIDENTES NUEVOS / DEMANDADOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,SGTES.,PROCESO ART. 415 Y MODIFICACIÓN DE GUARDA,detalle,4,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,movimiento_registrado_total_incidentes,129,3,MOVIMIENTO REGISTRADO / TOTAL DE INCIDENTES
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,SGTES.,PROCESO ART. 415 Y MODIFICACIÓN DE GUARDA,detalle,4,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,incidentes_resueltos,103,4,INCIDENTES RESUELTOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,SGTES.,PROCESO ART. 415 Y MODIFICACIÓN DE GUARDA,detalle,4,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,incidentes_pendientes_proxima_gestion,26,5,INCIDENTES PENDIENTES / PARA LA PROXIMA GESTIÓN
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,,SGTES. MODIFICACIÓN DEL DERECHO A VISITAS,detalle,5,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,,2023,False,incidentes_pendientes_iniciar_gestion,18,1,INCIDENTES PENDIENTES AL / INICIAR LA GESTIÓN
