cuadro_origen,pagina_pdf,firma,familia,ambito,titulo_pagina,entidad,num_juzgados_pagina,unidad_fila,grupo_proceso,tipo_proceso,tipo_fila_derivado,orden_fila,n_columnas,materia_seccion,tipo_accion_penal,materia_norm,materia_homologada,materia_cruda,ciudad,distrito,departamento_derivado,es_total_nacional,grupo_proceso_norm,gestion,revisado_manual,columna,valor,orden_columna,rotulo_columna_pdf
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,ORDINARIO,detalle,1,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,otros_acc_const,240,12,FORMAS DE FINALIZACIÓN DE COMPETENCIA / OTROS (ACC CONST. ETC)
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,ORDINARIO,detalle,1,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,totales,1286,13,TOTALES
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,formas_resolucion_causas_sentencia,2,1,FORMAS DE / RESOLUCIÓN DE / CAUSAS CON / SENTENCIA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,desistimiento,0,2,DESISTIMIENTO
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,retiro_demanda,1,3,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / DE LA / RETIRO DEMANDA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,extincion_inactividad,0,4,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / EXTINCIÓN POR INACTIVIDAD
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,acuerdo_transaccional,0,5,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / ACUERDO TRANSACCIONAL
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,conciliacion_intraprocesal,0,6,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / CONCILIACIÓN INTRAPROCESAL
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,presentado_no,2,7,POR PRESENTADO / NO
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,excusa,0,8,EXCUSA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,recusa,0,9,FORMAS DE FINALIZACIÓN DE COMPETENCIA / RECUSA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,rechazadas_impro_ponibles,1,10,FORMAS DE FINALIZACIÓN DE COMPETENCIA / RECHAZADAS/IMPRO PONIBLES
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,acumulacion,0,11,FORMAS DE FINALIZACIÓN DE COMPETENCIA / ACUMULACIÓN
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,otros_acc_const,0,12,FORMAS DE FINALIZACIÓN DE COMPETENCIA / OTROS (ACC CONST. ETC)
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,totales,6,13,TOTALES
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,formas_resolucion_causas_sentencia,13,1,FORMAS DE / RESOLUCIÓN DE / CAUSAS CON / SENTENCIA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,desistimiento,1,2,DESISTIMIENTO
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,retiro_demanda,1,3,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / DE LA / RETIRO DEMANDA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,extincion_inactividad,5,4,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / EXTINCIÓN POR INACTIVIDAD
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,acuerdo_transaccional,1,5,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / ACUERDO TRANSACCIONAL
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,conciliacion_intraprocesal,3,6,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / CONCILIACIÓN INTRAPROCESAL
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,presentado_no,6,7,POR PRESENTADO / NO
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,excusa,0,8,EXCUSA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,recusa,0,9,FORMAS DE FINALIZACIÓN DE COMPETENCIA / RECUSA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,rechazadas_impro_ponibles,2,10,FORMAS DE FINALIZACIÓN DE COMPETENCIA / RECHAZADAS/IMPRO PONIBLES
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,acumulacion,0,11,FORMAS DE FINALIZACIÓN DE COMPETENCIA / ACUMULACIÓN
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,otros_acc_const,5,12,FORMAS DE FINALIZACIÓN DE COMPETENCIA / OTROS (ACC CONST. ETC)
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,INTERDICTOS,detalle,3,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,totales,37,13,TOTALES
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,DESALOJO DE VIVIENDA,detalle,4,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,formas_resolucion_causas_sentencia,2,1,FORMAS DE / RESOLUCIÓN DE / CAUSAS CON / SENTENCIA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,DESALOJO DE VIVIENDA,detalle,4,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,desistimiento,2,2,DESISTIMIENTO
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,DESALOJO DE VIVIENDA,detalle,4,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,retiro_demanda,0,3,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / DE LA / RETIRO DEMANDA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,DESALOJO DE VIVIENDA,detalle,4,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,extincion_inactividad,2,4,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / EXTINCIÓN POR INACTIVIDAD
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,DESALOJO DE VIVIENDA,detalle,4,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,acuerdo_transaccional,0,5,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / ACUERDO TRANSACCIONAL
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,DESALOJO DE VIVIENDA,detalle,4,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,conciliacion_intraprocesal,4,6,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / CONCILIACIÓN INTRAPROCESAL
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,DESALOJO DE VIVIENDA,detalle,4,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,presentado_no,5,7,POR PRESENTADO / NO
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,DESALOJO DE VIVIENDA,detalle,4,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,excusa,0,8,EXCUSA
5.1.1.2,132,fe9adb27f1,resueltas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,,DESALOJO DE VIVIENDA,detalle,4,13,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,,2023,False,recusa,0,9,FORMAS DE FINALIZACIÓN DE COMPETENCIA / RECUSA
