id_grupo_repetido,multiplicidad,ambito,territorio,departamento_derivado,materia_cruda,materia_norm,materia_homologada,tipo_proceso,grupo_proceso_norm,tipo_accion_penal,cuadro_origen,pagina_pdf,orden_fila,firma,titulo_pagina,unidad_fila,causa_repeticion,contexto_diferenciador,decision,evidencia
grp_005,3,capital,COBIJA,Pando,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",SENTENCIA PENAL,Sentencia Penal,ACCIÓN PENAL PÙBLICA,,,5.3.2.1,364,14,605618ed5b,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",tipo_proceso,tipo_accion_penal,causas|anticorrupcion,requiere_contexto,"Cuadro 5.3.2.1, p. 364: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_005,3,capital,COBIJA,Pando,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",SENTENCIA PENAL,Sentencia Penal,ACCIÓN PENAL PÙBLICA,,,5.3.2.1,364,17,605618ed5b,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",tipo_proceso,tipo_accion_penal,causas|violencia_mujeres,requiere_contexto,"Cuadro 5.3.2.1, p. 364: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_006,2,capital,COCHABAMBA,Cochabamba,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",INSTRUCCIÓN ANTICORRUPCIÓN,Instrucción Anticorrupción,ANTICORRUPCIÓN,,ANTICORRUPCIÓN,5.3.1.1,348,14,c79602bf88,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",tipo_proceso,subbloque_fuente,informes_de_inicio_de_investigacion|anticorrupcion,requiere_contexto,"Cuadro 5.3.1.1, p. 348: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_006,2,capital,COCHABAMBA,Cochabamba,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",INSTRUCCIÓN ANTICORRUPCIÓN,Instrucción Anticorrupción,ANTICORRUPCIÓN,,ANTICORRUPCIÓN,5.3.1.2,351,14,84b379abdf,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",tipo_proceso,subbloque_fuente,imputaciones_formales|anticorrupcion,requiere_contexto,"Cuadro 5.3.1.2, p. 351: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_007,2,capital,COCHABAMBA,Cochabamba,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,Instrucción Contra la Violencia hacia las Mujeres,CONTRA LA VIOLENCIA HACIA LAS MUJERES,,CONTRA LA VIOLENCIA HACIA LA MUJER,5.3.1.1,348,15,c79602bf88,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",tipo_proceso,subbloque_fuente,informes_de_inicio_de_investigacion|violencia_mujeres,requiere_contexto,"Cuadro 5.3.1.1, p. 348: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_007,2,capital,COCHABAMBA,Cochabamba,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,Instrucción Contra la Violencia hacia las Mujeres,CONTRA LA VIOLENCIA HACIA LAS MUJERES,,CONTRA LA VIOLENCIA HACIA LA MUJER,5.3.1.2,351,15,84b379abdf,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",tipo_proceso,subbloque_fuente,imputaciones_formales|violencia_mujeres,requiere_contexto,"Cuadro 5.3.1.2, p. 351: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_008,2,capital,COCHABAMBA,Cochabamba,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",INSTRUCCIÓN PENAL,Instrucción Penal,PENAL COMUN,,PENAL,5.3.1.1,348,13,c79602bf88,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",tipo_proceso,subbloque_fuente,informes_de_inicio_de_investigacion|penal_comun,requiere_contexto,"Cuadro 5.3.1.1, p. 348: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_008,2,capital,COCHABAMBA,Cochabamba,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",INSTRUCCIÓN PENAL,Instrucción Penal,PENAL COMUN,,PENAL,5.3.1.2,351,13,84b379abdf,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto",tipo_proceso,subbloque_fuente,imputaciones_formales|penal_comun,requiere_contexto,"Cuadro 5.3.1.2, p. 351: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_009,3,capital,COCHABAMBA,Cochabamba,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",SENTENCIA PENAL,Sentencia Penal,ACCIÓN PENAL PRIVADA,,,5.3.2.1,362,33,605618ed5b,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",tipo_proceso,tipo_accion_penal,causas|penal_comun,requiere_contexto,"Cuadro 5.3.2.1, p. 362: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_009,3,capital,COCHABAMBA,Cochabamba,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",SENTENCIA PENAL,Sentencia Penal,ACCIÓN PENAL PRIVADA,,,5.3.2.1,362,36,605618ed5b,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",tipo_proceso,tipo_accion_penal,causas|anticorrupcion,requiere_contexto,"Cuadro 5.3.2.1, p. 362: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_009,3,capital,COCHABAMBA,Cochabamba,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",SENTENCIA PENAL,Sentencia Penal,ACCIÓN PENAL PRIVADA,,,5.3.2.1,362,39,605618ed5b,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",tipo_proceso,tipo_accion_penal,causas|violencia_mujeres,requiere_contexto,"Cuadro 5.3.2.1, p. 362: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
grp_010,3,capital,COCHABAMBA,Cochabamba,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",SENTENCIA PENAL,Sentencia Penal,ACCIÓN PENAL PÙBLICA,,,5.3.2.1,362,31,605618ed5b,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto",tipo_proceso,tipo_accion_penal,causas|penal_comun,requiere_contexto,"Cuadro 5.3.2.1, p. 362: título de subcuadro y bloque de acción penal conservan significados distintos pese al mismo rótulo."
