cuadro_origen,pagina_pdf,firma,familia,ambito,titulo_pagina,entidad,num_juzgados_pagina,unidad_fila,grupo_proceso,tipo_proceso_extraido,tipo_proceso,tipo_fila_derivado,orden_fila,n_columnas,readecuadas_ley_439,recibidas_excusa_recusacion,preliminares_formalizados,cautelares_formalizados,nuevas_ingresadas,atendidas,resueltas,pendientes_fin,pendientes_inicio,conciliacion,num_juzgados,recibidas_otros_juzgados,concluidas_rechazo_denuncia,reparacion_dano_conciliacion,remision_art_299_ley_548,merecieron_imputacion_formal,remitidas_finalizacion_competencia,procesos_rebeldia,reparacion_dano,sobreseimiento,terminacion_anticipada,merecieron_acusacion,concluidas_extincion_prescripcion,concluidas_sentencia_juicio,remitidas_otros_juzgados,concluidas_otras_formas,imputacion_directa_procedimiento_inmediato,otras_formas_finalizacion,recibidas_declinatoria_inhibitoria,ingresadas_conversion_acciones,otras_formas_conclusion,resueltas_sentencia,ingresadas_reenvio,otras_formas_ingreso,remitidas_excusa_recusacion,remitidas_otras_formas,materia_seccion,tipo_accion_penal,materia_norm,materia_homologada,materia_cruda,ciudad,distrito,departamento_derivado,es_total_nacional,grupo_proceso_norm,etapa_proceso_fuente,contexto_accion_penal,gestion,revisado_manual,territorio,tipo_elemento_analitico,recurso_juzgados_publicados,recurso_tribunales_publicados,recurso_salas_publicadas,recurso_conciliadores_publicados,recurso_otros_organos_publicados,recursos_clasificacion_completa,personal_cuadro_origen,personal_pagina_pdf,personal_distrito,personal_gestion,personal_items_mujer,personal_items_varon,personal_items_acefalias,personal_items_total,personal_remun_mujer,personal_remun_varon,personal_remun_acefalias,personal_remun_total,personal_nivel_geografico,personal_metodo_seleccion,estado_gestion,ingresos_totales,tasa_resolucion,tasa_resolucion_total,tasa_congestion,tasa_pendencia,duracion_estimada_dias,acumulacion_neta_anual,flag_acumula_mora,flag_sin_resolucion_anual,flag_sin_movimiento,atendidas_por_item_personal,atendidas_por_juzgado_territorio,es_outlier_carga_iqr,es_outlier_severo_carga_iqr,es_outlier_ingresos_iqr,es_outlier_severo_ingresos_iqr,es_outlier_congestion_iqr,es_outlier_severo_congestion_iqr,es_outlier_duracion_iqr,es_outlier_severo_duracion_iqr,tasa_congestion_winsorizada,duracion_estimada_winsorizada,log_atendidas,log_nuevas_ingresadas,log_resueltas,log_pendientes_fin,log_ingresos_totales
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,ORDIN ARIO,ORDINARIO,ORDINARIO,detalle,1,8,770,22,160,21,1424,2397,1286,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,ORDINARIO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,1627.0,0.9030898876404494,0.7904118008604795,1.8639191290824262,0.46349603671255735,315.33048211508554,138.0,True,False,False,4.242477876106195,47.94,True,True,True,True,False,False,False,False,1.8639191290824262,315.33048211508554,7.7823903355874595,7.261927092702751,7.160069207596127,7.013915474810528,7.395107546562485
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,EXTRAORDI NARIO,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,8,8,0,0,0,12,20,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,EXTRAORDINARIO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,12.0,0.5,0.5,3.3333333333333335,0.7,851.6666666666667,6.0,True,False,False,0.035398230088495575,0.4,False,False,False,False,False,False,False,False,3.3333333333333335,851.6666666666667,3.044522437723423,2.5649493574615367,1.9459101490553132,2.70805020110221,2.5649493574615367
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,EXTRAORDI NARIO,INTERDICTOS,INTERDICTOS,detalle,3,8,32,1,1,1,44,79,37,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,EXTRAORDINARIO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,47.0,0.8409090909090909,0.7872340425531915,2.135135135135135,0.5316455696202531,414.3243243243243,7.0,True,False,False,0.13982300884955753,1.58,False,False,False,False,False,False,False,False,2.135135135135135,414.3243243243243,4.382026634673881,3.8066624897703196,3.6375861597263857,3.7612001156935624,3.871201010907891
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,EXTRAORDI NARIO,DESALOJO DE VIVIENDA,DESALOJO DE VIVIENDA,detalle,4,8,5,1,0,0,28,34,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,EXTRAORDINARIO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,29.0,0.7142857142857143,0.6896551724137931,1.7,0.4117647058823529,255.49999999999997,8.0,True,False,False,0.06017699115044248,0.68,False,False,False,False,False,False,False,False,1.7,255.49999999999997,3.5553480614894135,3.367295829986474,3.044522437723423,2.70805020110221,3.4011973816621555
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,EJECUTIVO,EJECUTIVO,detalle,5,8,60,4,398,2,2019,2483,2356,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,2423.0,1.16691431401684,0.9723483285183656,1.053904923599321,0.05114780507450665,19.675297113752123,-337.0,False,False,False,4.394690265486726,49.66,True,True,True,True,False,False,False,False,1.053904923599321,19.675297113752123,7.81762544305337,7.61085279039525,7.7651449029361315,4.852030263919617,7.793174347189205
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,ENTREGA DEL BIEN O CUMPLIMIENTO DE DAR,ENTREGA DEL BIEN O CUMPLIMIENTO DE DAR,detalle,6,8,0,0,0,0,16,16,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,16.0,0.9375,0.9375,1.0666666666666667,0.0625,24.333333333333332,1.0,True,False,False,0.02831858407079646,0.32,False,False,False,False,False,False,False,False,1.0666666666666667,24.333333333333332,2.833213344056216,2.833213344056216,2.772588722239781,0.6931471805599453,2.833213344056216
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,ENTREGA DE LA HERENCIA,ENTREGA DE LA HERENCIA,detalle,7,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,sin_movimiento,0.0,1.0,1.0,,0.0,,0.0,False,False,True,0.0,0.0,False,False,False,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0.0
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,RESOLUCIÓN DE CONTRATO POR INCUMPLIMIENTO DE PAGO,RESOLUCIÓN DE CONTRATO POR INCUMPLIMIENTO DE PAGO,detalle,8,8,9,0,3,0,13,25,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,16.0,0.46153846153846156,0.375,4.166666666666667,0.76,1155.8333333333333,7.0,True,False,False,0.04424778761061947,0.5,False,False,False,False,True,False,True,False,4.166666666666667,1155.8333333333333,3.258096538021482,2.6390573296152584,1.9459101490553132,2.995732273553991,2.833213344056216
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,CESE DE LA COPROPIEDAD,CESE DE LA COPROPIEDAD,detalle,9,8,0,1,0,0,4,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,resolucion_total,5.0,1.25,1.0,1.0,0.0,0.0,-1.0,False,False,False,0.008849557522123894,0.1,False,False,False,False,False,False,False,False,1.0,0.0,1.791759469228055,1.6094379124341003,1.791759469228055,0.0,1.791759469228055
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,DESALOJO EN REGIMEN DE LIBRE CONTRATACIÓN,DESALOJO EN REGIMEN DE LIBRE CONTRATACIÓN,detalle,10,8,2,2,1,0,13,18,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,16.0,1.1538461538461537,0.9375,1.2,0.16666666666666666,73.0,-2.0,False,False,False,0.03185840707964602,0.36,False,False,False,False,False,False,False,False,1.2,73.0,2.9444389791664403,2.6390573296152584,2.772588722239781,1.3862943611198906,2.833213344056216
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,OTROS MONITORIOS,OTROS MONITORIOS,detalle,11,8,5,0,0,0,11,16,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,11.0,1.0,1.0,1.4545454545454546,0.3125,165.9090909090909,0.0,False,False,False,0.02831858407079646,0.32,False,False,False,False,False,False,False,False,1.4545454545454546,165.9090909090909,2.833213344056216,2.4849066497880004,2.4849066497880004,1.791759469228055,2.4849066497880004
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,detalle,12,8,3,0,0,0,227,230,224,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,227.0,0.986784140969163,0.986784140969163,1.0267857142857142,0.02608695652173913,9.776785714285714,3.0,True,False,False,0.40707964601769914,4.6,False,False,True,False,False,False,False,False,1.0267857142857142,9.776785714285714,5.442417710521793,5.429345628954441,5.41610040220442,1.9459101490553132,5.429345628954441
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,PROCESO CONCURS ALES,CONCURSALES,CONCURSALES,detalle,13,8,9,0,0,0,7,16,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,PROCESO CONCURSALES,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,7.0,0.42857142857142855,0.42857142857142855,5.333333333333333,0.8125,1581.6666666666665,4.0,True,False,False,0.02831858407079646,0.32,False,False,False,False,True,False,True,False,5.333333333333333,1581.6666666666665,2.833213344056216,2.0794415416798357,1.3862943611198906,2.6390573296152584,2.0794415416798357
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,PROCESOS VOLUNTARIOS,"APERTURA, COMPROBACIÓN Y PUBLICACIÓN DE TESTAMENTO","APERTURA, COMPROBACIÓN Y PUBLICACIÓN DE TESTAMENTO",detalle,14,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,PROCESOS VOLUNTARIOS,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,sin_movimiento,0.0,1.0,1.0,,0.0,,0.0,False,False,True,0.0,0.0,False,False,False,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0.0
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,PROCESOS VOLUNTARIOS,ACEPTACIÓN DE HERENCIA CON BENEFICIO DE INVENTARIO,ACEPTACIÓN DE HERENCIA CON BENEFICIO DE INVENTARIO,detalle,15,8,9,2,0,0,28,39,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,PROCESOS VOLUNTARIOS,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,30.0,0.9642857142857143,0.9,1.4444444444444444,0.3076923076923077,162.2222222222222,1.0,True,False,False,0.06902654867256637,0.78,False,False,False,False,False,False,False,False,1.4444444444444444,162.2222222222222,3.6888794541139363,3.367295829986474,3.332204510175204,2.5649493574615367,3.4339872044851463
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,PROCESOS VOLUNTARIOS,RENUNCIA DE HERENCIA,RENUNCIA DE HERENCIA,detalle,16,8,0,0,0,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,PROCESOS VOLUNTARIOS,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,3.0,0.6666666666666666,0.6666666666666666,1.5,0.3333333333333333,182.5,1.0,True,False,False,0.005309734513274336,0.06,False,False,False,False,False,False,False,False,1.5,182.5,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.3862943611198906
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,PROCESOS VOLUNTARIOS,SUCESIÓN DE ESTADO,SUCESIÓN DE ESTADO,detalle,17,8,0,0,0,0,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,PROCESOS VOLUNTARIOS,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,en_tramite_exclusivo,2.0,0.0,0.0,,1.0,,2.0,True,True,False,0.0035398230088495575,0.04,False,False,False,False,False,False,False,False,,,1.0986122886681098,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,PROCESOS VOLUNTARIOS,DESAPARICIÓN Y PRESUNCIÓN DE MUERTE,DESAPARICIÓN Y PRESUNCIÓN DE MUERTE,detalle,18,8,1,0,0,0,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,PROCESOS VOLUNTARIOS,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,3.0,1.0,1.0,1.3333333333333333,0.25,121.66666666666666,0.0,False,False,False,0.007079646017699115,0.08,False,False,False,False,False,False,False,False,1.3333333333333333,121.66666666666666,1.6094379124341003,1.3862943611198906,1.3862943611198906,0.6931471805599453,1.3862943611198906
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,PROCESOS VOLUNTARIOS,MENSURA Y DESLINDE,MENSURA Y DESLINDE,detalle,19,8,1,0,0,0,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,PROCESOS VOLUNTARIOS,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,3.0,1.0,1.0,1.3333333333333333,0.25,121.66666666666666,0.0,False,False,False,0.007079646017699115,0.08,False,False,False,False,False,False,False,False,1.3333333333333333,121.66666666666666,1.6094379124341003,1.3862943611198906,1.3862943611198906,0.6931471805599453,1.3862943611198906
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,PROCESOS VOLUNTARIOS,OFERTA DE PAGO Y CONSIGNACIÓN,OFERTA DE PAGO Y CONSIGNACIÓN,detalle,20,8,0,0,0,0,5,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,PROCESOS VOLUNTARIOS,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,5.0,0.6,0.6,1.6666666666666667,0.4,243.33333333333331,2.0,True,False,False,0.008849557522123894,0.1,False,False,False,False,False,False,False,False,1.6666666666666667,243.33333333333331,1.791759469228055,1.791759469228055,1.3862943611198906,1.0986122886681098,1.791759469228055
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,PROCESOS VOLUNTARIOS,TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO,TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO,detalle,21,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,PROCESOS VOLUNTARIOS,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,sin_movimiento,0.0,1.0,1.0,,0.0,,0.0,False,False,True,0.0,0.0,False,False,False,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0.0
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,PROCESOS VOLUNTARIOS,"INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS","INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",detalle,22,8,21,0,0,0,267,288,244,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,PROCESOS VOLUNTARIOS,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,267.0,0.9138576779026217,0.9138576779026217,1.180327868852459,0.1527777777777778,65.81967213114754,23.0,True,False,False,0.5097345132743363,5.76,False,False,True,False,False,False,False,False,1.180327868852459,65.81967213114754,5.666426688112432,5.5909869805108565,5.501258210544727,3.8066624897703196,5.5909869805108565
